Customer_ID,Age,Income,Customer_Segment,Location,Product_ID,Base_Price,Discount,Final_Price,Units_Sold,Revenue,Profit,Competitor_Pricing,Inflation_Rate,Season,Transaction_Date,Promotion_Type,Category,Transaction_Frequency,Tenure,Days_Since_Last_Purchase
1,40,28853.174736916666,Medium-value,Europe,1,96.05100694617582,0.13868923912038972,82.72976587606342,15,1240.9464881409513,232.41091520610547,103.0869595624073,0.011840292501411488,Summer,2023-06-04 18:21:47,BOGO,Clothing,3,2,16
2,34,51477.62649092003,High-value,North America,2,121.36209996426697,0.10712477636733223,108.36121214612506,1,108.36121214612506,23.40774217113818,125.28813148745957,0.016293366764710035,Spring,2020-09-21 18:42:04,Discount,Home Goods,3,2,276
3,41,32499.857569915763,Medium-value,Asia-Pacific,3,116.82209605182047,0.14788938296107193,99.54534835049766,1,99.54534835049766,17.769881114223338,122.47700141697005,0.028287925807538774,Summer,2022-04-05 21:44:05,Loyalty Points,Electronics,9,2,95
4,50,52058.35067371177,Medium-value,North America,4,88.55742846589683,0.13090579312835868,76.96474805516071,28,2155.0129455445,419.2873476129221,94.1543824203032,0.03149389830012769,Summer,2022-02-06 17:08:04,BOGO,Home Goods,4,2,47
5,33,44230.95424317908,Medium-value,Europe,5,107.19575806434894,0.1479408378612278,91.33712780113969,2,182.67425560227937,32.600194312190865,113.86435344136817,0.01302174236258257,Summer,2022-03-11 03:00:05,BOGO,Home Goods,2,2,115
6,33,44674.10318525262,Medium-value,Asia-Pacific,6,111.7992268615421,0.0984384436099966,100.79388497249097,1,100.79388497249097,22.534426169411503,100.78087216772177,0.013498815912460441,Summer,2020-03-18 07:40:48,BOGO,Electronics,1,1,156
7,51,44076.21595361778,Low-value,Europe,7,75.34205176201229,0.13812848294186839,64.93516845039781,45,2922.0825802679014,548.8079497645147,77.9321984838587,0.019064101971826692,Spring,2023-11-04 13:23:06,Loyalty Points,Electronics,8,1,168
8,43,70866.9986754888,Low-value,North America,8,86.64168033072782,0.10752090843390624,77.32588815332785,32,2474.4284209064913,533.6547814981882,92.23068186098116,0.016731938222046272,Spring,2022-08-13 15:07:16,Discount,Home Goods,5,4,234
9,30,90922.32762445734,Medium-value,North America,9,95.15403463712713,0.05,90.39633290527077,9,813.566996147437,214.09657793353608,86.68822717691465,0.028033284436462858,Winter,2021-05-26 04:05:35,BOGO,Electronics,5,3,178
10,40,31535.717432519512,Low-value,Europe,10,102.33022671213456,0.1862213911169144,83.27414954049163,18,1498.9346917288494,209.57383515595401,102.9975127353709,0.021222844790112605,Spring,2020-10-03 08:38:41,Discount,Clothing,3,2,279
11,30,54663.44573409313,Medium-value,Europe,11,128.0030932911672,0.16302403845693253,107.13551208786163,1,107.13551208786163,17.533346784044596,119.60532726571601,0.016958191950401526,Spring,2020-12-24 16:51:18,BOGO,Home Goods,5,1,170
12,30,30744.891998526156,Medium-value,Asia-Pacific,12,88.21180901481262,0.15210984448525336,74.7939244638066,32,2393.4055828418113,417.4610609100089,83.14470130140288,0.031827783616733746,Summer,2020-05-09 02:30:44,Discount,Clothing,3,3,293
13,37,35279.842138385546,Low-value,Europe,13,131.39993705470874,0.1697570529227853,109.09387098606189,1,109.09387098606189,17.113915047765772,140.39111993279107,0.003435548617084734,Summer,2022-12-26 17:58:53,BOGO,Home Goods,10,1,111
14,18,40580.619563796,Low-value,Europe,14,111.42282526059074,0.07214125981773582,103.38464227384029,1,103.38464227384029,25.388664591426775,110.52861294811454,0.022148653360416763,Summer,2023-03-28 10:42:26,Flash Sale,Home Goods,3,2,150
15,18,20065.895747655064,High-value,North America,15,69.79491833499404,0.21870757322918694,54.5302411222182,44,2399.330609377601,249.6471246597846,65.39178769812446,0.02654901838725008,Winter,2021-07-10 11:57:10,Loyalty Points,Clothing,6,3,180
16,29,46968.24078479126,High-value,North America,16,108.46076469347229,0.1436294308051904,92.88260679585316,7,650.1782475709722,118.72050057295796,113.79944568056035,0.0012759937881456143,Summer,2022-05-06 03:53:40,Flash Sale,Home Goods,2,1,255
17,25,51140.84511824058,Medium-value,Europe,17,131.00331094886235,0.20253788279177776,104.47017771056686,1,104.47017771056686,12.767860046363225,141.25956763158084,0.015078399680642875,Summer,2020-12-08 14:24:20,Loyalty Points,Electronics,3,1,216
18,38,31167.976451298928,Medium-value,Europe,18,98.09423199525502,0.0795313004744024,90.29267015563465,6,541.7560209338079,129.76024655373686,101.60361039277878,0.01899647758049457,Summer,2023-05-03 09:13:03,Flash Sale,Home Goods,5,1,165
19,26,64598.73475086591,Low-value,North America,19,87.28698785594706,0.132719249217361,75.70232436126086,27,2043.9627577540434,394.23868727664393,94.63336623111879,0.0012514135967972156,Summer,2023-01-06 15:03:46,Loyalty Points,Home Goods,7,1,134
20,21,51940.020265957945,High-value,Asia-Pacific,20,90.66242866659226,0.23755143967073328,69.12543821279812,38,2626.7666520863286,215.14604955497444,86.79085928408065,0.03481107366441174,Summer,2021-02-07 23:40:38,Discount,Home Goods,6,2,288
21,50,41447.144193120665,Medium-value,Asia-Pacific,21,111.84862782349181,0.18762016000811735,90.86357037455991,12,1090.362844494719,150.83437077738773,110.34425316334121,0.03636627616215074,Summer,2020-10-25 12:45:22,Flash Sale,Clothing,4,2,262
22,33,37795.67164415637,Medium-value,Asia-Pacific,22,74.41773037049842,0.08088846905947344,68.39819408994812,32,2188.74221087834,521.7850505791753,68.54380019799387,0.018280253312862902,Summer,2020-10-27 13:01:07,Discount,Beauty Products,3,3,217
23,36,32378.74147066177,High-value,Asia-Pacific,23,137.3136128704847,0.17774189407994787,112.90723123592403,1,112.90723123592403,16.787702226584756,125.59720850603114,0.013420113385353174,Spring,2022-06-22 14:43:22,BOGO,Clothing,6,3,253
24,21,63683.73435728673,Low-value,North America,24,124.29848487089052,0.11808408553964032,109.62081195094859,1,109.62081195094859,22.61187254132524,121.89190485752229,0.00404634038728071,Summer,2023-07-16 01:31:50,Discount,Clothing,7,4,52
25,30,38535.395176642436,Low-value,Europe,25,116.06079109785843,0.09208222095897622,105.37365568731185,1,105.37365568731185,24.131101918810955,120.28891763159456,0.01865928740946679,Winter,2021-08-13 00:38:18,Flash Sale,Home Goods,1,1,283
26,36,46395.01463981764,Medium-value,Asia-Pacific,26,79.07608251533753,0.11843697492073829,69.71055051363827,26,1812.4743133545949,373.28961157545194,83.09774983924622,0.020210508776922667,Spring,2020-08-16 03:38:28,Discount,Electronics,6,3,50
27,23,92865.3890968673,High-value,North America,27,131.6666363724264,0.1572944985778096,110.9561988247988,1,110.9561988247988,18.78955336410033,122.47236009553701,0.033136550570759836,Fall,2022-03-13 12:23:54,Discount,Clothing,5,1,179
28,39,30898.321861317512,High-value,Europe,28,127.79357581445657,0.1558054202514874,107.88264402924486,1,107.88264402924486,18.427140959125268,130.7006417733686,0.03745368641627235,Fall,2022-10-16 00:28:03,Flash Sale,Home Goods,3,1,116
29,29,34771.64708163778,Medium-value,Asia-Pacific,29,131.57368016506194,0.10663940478581554,117.54274122678046,1,117.54274122678046,25.44116511123711,132.23074975160503,0.016605716427065813,Spring,2020-05-23 20:26:37,Discount,Home Goods,6,3,183
30,32,28819.566976786857,Medium-value,Europe,30,109.13122004808464,0.1416181378410637,93.67625988455154,11,1030.4388587300668,190.12846435981527,115.85135484184275,0.016480677397595227,Spring,2020-04-05 22:24:48,Discount,Beauty Products,8,1,280
31,29,38675.51713669938,Medium-value,Asia-Pacific,31,103.34217764489294,0.09907626470422899,93.10342069743606,6,558.6205241846164,124.58337807606605,108.06891319922141,0.003165320607973157,Summer,2023-12-05 00:40:46,Loyalty Points,Beauty Products,7,4,70
32,54,62541.8694775793,Medium-value,Europe,32,108.50522699603536,0.1437579275902257,92.9067404303783,8,743.2539234430265,135.62465226522852,108.50549709929311,0.010255011358444683,Summer,2021-01-13 17:01:00,Flash Sale,Home Goods,5,2,291
33,35,64770.42828121194,Medium-value,Asia-Pacific,33,112.76949666467223,0.16942103470277106,93.66397185683277,4,374.6558874273311,58.90129676624889,107.04657042029918,0.018684591943640208,Fall,2020-04-20 16:07:04,BOGO,Electronics,2,4,222
34,24,43272.71759850209,Low-value,Asia-Pacific,34,128.91359991005933,0.06854177448834366,120.07763301654349,1,120.07763301654349,29.838113079501966,138.63552623591434,0.014530045201993313,Spring,2020-02-18 06:13:21,Flash Sale,Home Goods,6,4,279
35,43,23472.099126347504,High-value,Europe,35,76.03535001320431,0.08785021945265267,69.35562782838505,27,1872.6019513663964,435.533836116835,70.97502634350312,0.0257037692896909,Summer,2020-03-28 06:52:01,Loyalty Points,Home Goods,7,2,39
36,23,49260.78024555291,Low-value,Europe,36,107.89599530799373,0.11784619751198164,95.18086253417606,8,761.4469002734085,157.2293265486436,102.7177467369762,0.03251197508867472,Summer,2023-11-21 22:43:08,Discount,Beauty Products,1,1,4
37,37,46672.5983318243,Medium-value,Europe,37,113.50013830869088,0.17617957051365432,93.50373268822536,4,374.0149307529014,56.21454348856696,117.45582284204362,0.01518093498922752,Winter,2020-08-13 08:03:19,Discount,Electronics,5,4,255
38,18,80372.92234330744,Low-value,North America,38,124.18987361601509,0.09182590066203375,112.78602661812036,1,112.78602661812036,25.853115086909796,124.89405767481213,0.03409547485353877,Summer,2022-06-24 02:32:41,Loyalty Points,Electronics,8,3,60
39,22,59130.50707597845,High-value,North America,39,97.33289665327361,0.18822963235581586,79.01196130010129,12,948.1435356012155,130.54720371371724,89.63157699237703,0.033657726294600857,Spring,2023-02-11 12:18:55,Loyalty Points,Electronics,4,1,234
40,37,35748.48394560359,Low-value,Europe,40,105.07521229737806,0.09088488187859411,95.52546403936266,5,477.6273201968133,109.86407715599015,104.75348531204757,0.014321537311296678,Spring,2020-01-14 21:57:11,BOGO,Home Goods,11,4,125
41,42,52928.42700352279,High-value,North America,41,101.03513368888756,0.1009762679794372,90.83298295418018,11,999.162812495982,221.19228309154784,93.31490433668219,0.017277890170825223,Fall,2021-09-04 01:44:12,Discount,Home Goods,3,3,136
42,37,48224.274973767686,Low-value,Asia-Pacific,42,109.3881438389188,0.1282019551477664,95.3643699287843,3,286.0931097863529,56.378007724623444,100.8319743085273,0.018719885151920156,Spring,2020-03-22 20:06:23,Flash Sale,Home Goods,7,1,103
43,34,38121.35950317911,Low-value,Europe,43,92.08980957503842,0.12109385754397442,80.93829929310698,18,1456.8893872759256,296.5577866304418,87.59656160236666,0.034553337421172746,Summer,2020-08-31 18:32:04,Loyalty Points,Home Goods,4,3,19
44,32,55781.07563494924,Medium-value,North America,44,116.43300644091968,0.10942419420201968,103.69241853260348,1,103.69241853260348,22.18931402395971,108.79075451004566,0.02685030490052132,Spring,2023-02-22 21:24:12,Discount,Home Goods,4,3,327
45,20,34966.87391991694,Medium-value,Europe,45,111.30759373958098,0.08217016082379895,102.16143086108954,1,102.16143086108954,24.24611524338286,122.25526592424806,0.0237094652656884,Spring,2020-08-19 19:05:15,Loyalty Points,Beauty Products,4,4,298
46,28,62000.77258375494,Low-value,Asia-Pacific,46,74.43238685075352,0.07021134577965078,69.20638880037053,25,1730.1597200092633,427.59295012107685,81.24798524013374,0.039150740075068385,Spring,2020-04-02 08:14:40,Discount,Home Goods,6,1,78
47,30,35877.2934720834,Low-value,Asia-Pacific,47,80.01686384932188,0.18936148940225286,64.864751333517,37,2399.9957993401295,327.55902564269275,83.60618830024814,0.02921988933831307,Spring,2021-05-17 13:59:17,BOGO,Clothing,9,3,90
48,46,76016.64888806245,Low-value,North America,48,99.76899406272786,0.14994274860022747,84.80935686788267,18,1526.568423621888,269.4790984315172,106.54362357526568,0.04297461291451972,Spring,2021-02-07 09:48:57,Flash Sale,Electronics,4,1,131
49,38,44622.36258534923,Low-value,Asia-Pacific,49,165.15482296702208,0.23271248275075607,126.72123407610479,1,126.72123407610479,11.112857999189345,178.30827548240475,0.016627446739649124,Spring,2021-07-29 16:45:04,Discount,Home Goods,13,4,214
50,18,17769.56819263048,Low-value,Europe,50,97.77638557352108,0.1479553182716838,83.30984932653591,21,1749.5068358572541,312.19396792649434,98.35680190558891,0.012803416993643096,Spring,2021-05-31 05:32:22,Flash Sale,Clothing,5,4,166
51,38,50284.74235708744,Medium-value,North America,51,82.94307886169634,0.16977924527202654,68.86106553201935,42,2892.1647523448128,453.63823381094085,88.056910052052,0.0067508345675181165,Winter,2023-04-05 08:49:42,Loyalty Points,Electronics,7,2,34
52,31,21471.910776957542,High-value,Europe,52,89.1504308754765,0.2193766272845713,69.59291002904816,27,1879.0085707843002,194.06542723779444,96.32809376721096,0.020342152291146543,Winter,2023-01-13 07:57:40,Discount,Clothing,2,2,287
53,28,30989.234703217822,High-value,Europe,53,113.435541960097,0.1782923873757785,93.21084837076602,7,652.4759385953621,96.64178299088684,103.23639378602591,0.030285347123791086,Summer,2021-02-21 09:12:45,Discount,Electronics,5,2,144
54,41,34920.24922545474,Medium-value,Europe,54,135.28417886579683,0.13236939615618432,117.37669379984608,1,117.37669379984608,22.6777685937883,143.56897318689587,0.01564366212051721,Fall,2020-07-19 17:01:27,Loyalty Points,Home Goods,4,2,323
55,45,32747.642657147273,Medium-value,Asia-Pacific,55,90.36641304952573,0.12269261421393479,79.27912159534318,23,1823.4197966928932,368.520546595529,82.82858418229986,0.01686420123108083,Spring,2021-11-28 11:14:29,Discount,Clothing,5,1,257
56,44,37709.77346077136,Medium-value,Europe,56,107.11384537205318,0.167341521764696,89.18925148542546,12,1070.2710178251054,170.51471669985887,116.62871583730764,0.026819388866271256,Spring,2021-03-17 11:14:16,Discount,Clothing,3,1,232
57,27,32279.823898769966,Medium-value,Asia-Pacific,57,92.39216468047785,0.174369366366265,76.28180146793532,14,1067.9452205510945,162.5020066824117,95.58060695570828,-0.0027122997561270477,Fall,2020-08-31 22:20:45,Discount,Clothing,3,3,121
58,32,53566.359800715785,Medium-value,Europe,58,115.8487072575598,0.17051335161802067,96.09495590245837,6,576.5697354147502,90.0051649329991,127.39504441463544,0.008439632304496578,Summer,2021-11-10 22:59:54,Loyalty Points,Clothing,5,1,193
59,38,45908.9139608565,Medium-value,Asia-Pacific,59,92.40386816902648,0.14148494885846036,79.33011160680785,20,1586.602232136157,292.94807776978615,90.60561035303066,0.041469728764989014,Fall,2020-05-09 08:38:20,Loyalty Points,Electronics,4,3,308
60,45,33792.755541132006,Medium-value,Asia-Pacific,60,118.65703358024115,0.1283986476974905,103.42163092874246,1,103.42163092874246,20.36170742257366,127.18940307261148,0.0040292237759966786,Winter,2020-04-12 18:35:41,Loyalty Points,Electronics,6,1,136
61,30,31633.46656185734,Medium-value,Asia-Pacific,61,50.3387042239629,0.17372446152154414,41.59363993896267,54,2246.056556703984,343.25353703818655,54.9322628369389,0.0401360833584949,Winter,2022-06-25 20:14:46,Discount,Beauty Products,6,3,43
62,33,34350.69690643449,High-value,Europe,62,115.62009955512234,0.14372911103154407,99.00212542868599,1,99.00212542868599,18.06805574010035,110.85582880337208,0.018711485037921544,Spring,2023-12-15 03:13:59,Discount,Home Goods,4,1,86
63,24,30947.89593319001,Low-value,Europe,63,97.65427815125945,0.08187097477981546,89.6592272075966,12,1075.9107264911593,255.6147900205799,104.7068537700305,0.03122606412039395,Summer,2023-07-06 00:47:46,Discount,Beauty Products,7,2,223
64,23,28010.51503267271,Medium-value,Asia-Pacific,64,112.9572313996409,0.11395878275328752,100.08476280615639,1,100.08476280615639,21.01470082640776,110.11336897964671,0.019259129615234294,Fall,2021-09-18 10:03:20,Discount,Home Goods,4,4,153
65,43,49354.16470710334,Low-value,Europe,65,100.33321798442695,0.09626088970238089,90.6750531545431,15,1360.1257973181464,306.6270084816634,98.69442238227718,0.006360760073837308,Winter,2020-02-28 23:34:44,Discount,Home Goods,1,2,124
66,49,36098.419419517755,Medium-value,Asia-Pacific,66,76.6511322858509,0.1688575656179172,63.70800868620518,39,2484.6123387620023,392.0364273582726,82.3438723449356,0.025240337939288114,Summer,2021-09-02 10:14:04,BOGO,Home Goods,9,3,347
67,34,43951.00328613376,High-value,Europe,67,104.27182678954608,0.11369461735784281,92.41668134150538,4,369.6667253660215,77.70561035529249,105.09261427079636,0.008402172319475638,Winter,2022-11-21 11:31:13,Loyalty Points,Electronics,2,1,320
68,45,40650.35452959665,High-value,Asia-Pacific,68,116.33956403790489,0.25962519261504247,86.13488231581377,18,1550.427881684648,84.54937480704635,114.1206975849084,0.015153244469781276,Fall,2020-08-19 20:35:18,Loyalty Points,Electronics,7,4,322
69,39,54495.813316584485,High-value,Asia-Pacific,69,105.32708319085586,0.17726805287292138,86.65595623882864,12,1039.8714748659436,155.12397606275442,97.99381326226263,0.006890802189348786,Spring,2022-10-05 21:29:03,Discount,Clothing,9,4,202
70,29,102842.85281244043,High-value,North America,70,71.20191116369891,0.2300667568657108,54.82071837962626,50,2741.035918981313,248.96902825185128,70.3068179278027,-0.003419097919950948,Summer,2020-06-15 19:02:45,Flash Sale,Electronics,6,4,64
71,39,43617.28589641829,High-value,Europe,71,104.46395913075511,0.23151863329361475,80.27860608436266,19,1525.2935156028907,135.92285916384782,109.27662231113122,0.006022009302974618,Spring,2020-08-03 14:49:05,Loyalty Points,Electronics,9,3,104
72,50,62953.507780201326,Low-value,Europe,72,110.35604743767918,0.13292740329517963,95.68670461386883,7,669.8069322970817,129.06229985245383,114.54574209456489,0.02789360501146871,Spring,2022-09-24 23:19:31,Discount,Beauty Products,5,3,152
73,35,59654.87272460861,Low-value,North America,73,91.87403823249258,0.20548014456733382,72.99574757449525,21,1532.9106990644004,182.36233704675954,97.06516196525207,0.02422243655512354,Summer,2021-07-28 03:59:11,Flash Sale,Clothing,8,2,202
74,51,38122.783270007116,Low-value,Asia-Pacific,74,40.03999281637164,0.15485152843202943,33.83973873034901,59,1996.5445850905917,342.8928817744433,42.08642540585246,0.018648204637824416,Summer,2021-09-28 04:57:47,Flash Sale,Electronics,3,2,118
75,18,46531.22366227959,Low-value,Asia-Pacific,75,90.28322855411447,0.2097274793793994,71.34835459922583,34,2425.844056373678,277.10321678575383,87.77064490880015,0.017007327629453287,Fall,2023-08-09 10:36:11,Loyalty Points,Electronics,6,4,364
76,43,41479.95757828344,Medium-value,North America,76,74.75713747977716,0.07990202641032856,68.78389070650745,35,2407.4361747277608,575.8863064732204,79.81959591047546,0.029443186872422148,Summer,2023-09-20 08:09:49,Flash Sale,Electronics,8,4,153
77,36,85001.98447093864,Medium-value,North America,77,98.0240841059586,0.1673729485559739,81.61750411964553,19,1550.732578273265,247.0122596640158,88.98222269138942,0.03089705599852394,Spring,2022-05-19 00:39:58,Flash Sale,Clothing,4,4,61
78,32,39660.85374514666,High-value,Asia-Pacific,78,74.97180737145636,0.16874589365151194,62.32062273789095,38,2368.183664039856,373.93358795911706,67.9015893106263,0.009875308373391763,Spring,2023-08-10 08:23:45,Loyalty Points,Home Goods,5,4,280
79,36,40222.10294624099,High-value,Europe,79,74.1811667575935,0.2197315580783476,57.881223405877755,40,2315.2489362351102,238.17626702249214,80.9481266906835,0.026151743245814842,Summer,2022-10-03 15:19:44,Flash Sale,Home Goods,0,4,246
80,18,82460.61296902559,Low-value,North America,80,115.47823210400438,0.09425610703382803,104.59370349873211,1,104.59370349873211,23.758941025929047,124.17294562890676,0.04434015024178657,Summer,2023-06-07 03:13:51,Loyalty Points,Clothing,5,2,343
81,33,63406.27489762481,Low-value,North America,81,103.26122908984784,0.13711122559523004,89.102955412869,11,980.1325095415589,185.02104554973056,101.2505299612384,0.01395224680850509,Spring,2023-02-04 13:10:56,Flash Sale,Home Goods,2,2,231
82,39,49945.60615826643,Low-value,North America,82,109.8554006786212,0.16190583093716573,92.06917074881375,11,1012.7608782369512,166.8742930115681,117.39266789053207,0.0377137694737265,Summer,2022-05-03 09:42:39,Discount,Electronics,4,1,185
